stage,batch_id,symbol_yahoo,status,message
historical_price,P0001,,warning,"There was 1 warning in `dplyr::mutate()`.
ℹ In argument: `data.. = purrr::map(...)`.
Caused by warning:
! x = '2602335D', get = 'stock.prices': Error in getSymbols.yahoo(Symbols = ""2602335D"", env = <environment>, verbose = FALSE, : Unable to import ""2602335D"".
cannot open the connection"
historical_price,P0001,2602335D,no_data,No valid close-and-volume observation was returned.
historical_price,P0025,,warning,"There was 1 warning in `dplyr::mutate()`.
ℹ In argument: `data.. = purrr::map(...)`.
Caused by warning:
! x = 'CREX', get = 'stock.prices': Error in getSymbols.yahoo(Symbols = ""CREX"", env = <environment>, verbose = FALSE, : Unable to import ""CREX"".
cannot open the connection"
historical_price,P0025,CREX,no_data,No valid close-and-volume observation was returned.
