market_snapshot_id,stage,batch_id,symbol_yahoo,status,message
M_2026-08-22_081501,historical_price,P0001,,warning,"There were 2 warnings in `dplyr::mutate()`.
The first warning was:
ℹ In argument: `data.. = purrr::map(...)`.
Caused by warning:
! x = '2602335D', get = 'stock.prices': Error in getSymbols.yahoo(Symbols = ""2602335D"", env = <environment>, verbose = FALSE, : Unable to import “2602335D”.
cannot open the connection
 Removing 2602335D.
ℹ Run ]8;;x-r-run:dplyr::last_dplyr_warnings()dplyr::last_dplyr_warnings()]8;; to see the 1 remaining warning."
M_2026-08-22_081501,historical_price,P0001,2602335D,no_data,No valid close-and-volume observation was returned.
M_2026-08-22_081501,historical_price,P0001,ABT,no_data,No valid close-and-volume observation was returned.
