category,metric,value,rate,market_snapshot_id,market_data_as_of,universe_build_id,universe_symbol_hash
Retrieval coverage,Requested symbols,5500,1,M_2026-08-22_081501,2026-08-22,U_2026-08-21_171227,87e167d26af6e0a5
Retrieval coverage,Symbols with usable quote data,5499,0.9998181818181818,M_2026-08-22_081501,2026-08-22,U_2026-08-21_171227,87e167d26af6e0a5
Retrieval coverage,Symbols with usable historical data,5498,0.9996363636363637,M_2026-08-22_081501,2026-08-22,U_2026-08-21_171227,87e167d26af6e0a5
Retrieval coverage,Symbols with either quote or historical data,5499,0.9998181818181818,M_2026-08-22_081501,2026-08-22,U_2026-08-21_171227,87e167d26af6e0a5
Retrieval coverage,Symbols with adequate liquidity history,5466,0.9938181818181818,M_2026-08-22_081501,2026-08-22,U_2026-08-21_171227,87e167d26af6e0a5
Retrieval coverage,Analysis-eligible symbols,5199,0.9452727272727273,M_2026-08-22_081501,2026-08-22,U_2026-08-21_171227,87e167d26af6e0a5
Eligibility outcome,Eligible,5199,0.9452727272727273,M_2026-08-22_081501,2026-08-22,U_2026-08-21_171227,87e167d26af6e0a5
Eligibility outcome,Missing positive current market capitalization,300,0.05454545454545454,M_2026-08-22_081501,2026-08-22,U_2026-08-21_171227,87e167d26af6e0a5
Eligibility outcome,No valid quote or historical-price data,1,1.818181818181818e-4,M_2026-08-22_081501,2026-08-22,U_2026-08-21_171227,87e167d26af6e0a5
