category,metric,value,rate,market_snapshot_id,market_data_as_of,universe_build_id,universe_symbol_hash
Retrieval coverage,Requested symbols,5500,1,M_2026-08-21_171316,2026-08-21,U_2026-08-21_171227,87e167d26af6e0a5
Retrieval coverage,Symbols with usable quote data,5499,0.9998181818181818,M_2026-08-21_171316,2026-08-21,U_2026-08-21_171227,87e167d26af6e0a5
Retrieval coverage,Symbols with usable historical data,5499,0.9998181818181818,M_2026-08-21_171316,2026-08-21,U_2026-08-21_171227,87e167d26af6e0a5
Retrieval coverage,Symbols with either quote or historical data,5499,0.9998181818181818,M_2026-08-21_171316,2026-08-21,U_2026-08-21_171227,87e167d26af6e0a5
Retrieval coverage,Symbols with adequate liquidity history,5467,0.994,M_2026-08-21_171316,2026-08-21,U_2026-08-21_171227,87e167d26af6e0a5
Retrieval coverage,Analysis-eligible symbols,5197,0.9449090909090909,M_2026-08-21_171316,2026-08-21,U_2026-08-21_171227,87e167d26af6e0a5
Eligibility outcome,Eligible,5197,0.9449090909090909,M_2026-08-21_171316,2026-08-21,U_2026-08-21_171227,87e167d26af6e0a5
Eligibility outcome,Missing positive current market capitalization,302,0.05490909090909091,M_2026-08-21_171316,2026-08-21,U_2026-08-21_171227,87e167d26af6e0a5
Eligibility outcome,No valid quote or historical-price data,1,1.818181818181818e-4,M_2026-08-21_171316,2026-08-21,U_2026-08-21_171227,87e167d26af6e0a5
